"","continent","country","mean_lifeExp","se_lifeExp","samsize_lifeExp"
"90","Asia","Jordan",59.7864166666667,3.02142382264312,12
"91","Asia","Korea Dem. Rep.",63.6073333333333,1.96393389358803,12
"92","Asia","Korea Rep.",65.001,2.90840697050131,12
"93","Asia","Kuwait",68.9223333333333,2.22288706393058,12
"94","Asia","Lebanon",65.8656666666667,1.39983934323503,12
"95","Asia","Malaysia",64.2795833333333,2.48482565530209,12
"96","Asia","Mongolia",55.8903333333333,2.29762673120757,12
"97","Asia","Myanmar",53.3216666666667,2.40351400678425,12
"98","Asia","Nepal",48.9863333333333,2.76608740284938,12
"99","Asia","Oman",58.4426666666667,4.07016951536891,12
"100","Asia","Pakistan",54.88225,2.1147202341115,12
"101","Asia","Philippines",60.96725,2.19763655805228,12
"102","Asia","Saudi Arabia",58.67875,3.42894498556264,12
"103","Asia","Singapore",71.22025,1.78481540139182,12
"104","Asia","Sri Lanka",66.5260833333333,1.30915513733519,12
"105","Asia","Syria",61.3461666666667,2.90809453348005,12
"106","Asia","Taiwan",70.3366666666667,1.74081108461637,12
"107","Asia","Thailand",62.20025,1.83629046410436,12
"108","Asia","Vietnam",57.4795,3.51384929761702,12
"109","Asia","West Bank and Gaza",60.3286666666667,3.17544651437504,12
"110","Asia","Yemen Rep.",46.7804166666667,3.18099840067961,12
"111","Europe","Albania",68.4329166666667,1.82526728826523,12
"112","Europe","Austria",73.10325,1.26435039689809,12
"113","Europe","Belgium",73.64175,1.09109329465977,12
"114","Europe","Bosnia and Herzegovina",67.7078333333333,1.92324415724677,12
"115","Europe","Bulgaria",69.74375,1.02557026357549,12
"116","Europe","Croatia",70.0559166666667,1.21509785401145,12
"117","Europe","Czech Republic",71.5105,0.787148059885698,12
"118","Europe","Denmark",74.3701666666667,0.640890973488463,12
"119","Europe","Finland",72.9919166666667,1.24203427012163,12
"120","Europe","France",74.3489166666667,1.24267744576667,12
"121","Europe","Germany",73.4444166666667,1.11792411420734,12
"122","Europe","Greece",73.7331666666667,1.2795485877386,12
"123","Europe","Hungary",69.3931666666667,0.721693524239544,12
"124","Europe","Iceland",76.5114166666667,0.873702002265433,12
"125","Europe","Ireland",73.01725,1.04456463400845,12
"126","Europe","Italy",74.0138333333333,1.40829689660593,12
"127","Europe","Montenegro",70.2991666666667,1.70282518735391,12
"128","Europe","Netherlands",75.6485,0.717751207212183,12
"129","Europe","Norway",75.843,0.699746858990211,12
"130","Europe","Poland",70.1769166666667,1.11439538885533,12
"131","Europe","Portugal",70.4198333333333,1.78266884462481,12
"132","Europe","Romania",68.2906666666667,0.912659760471469,12
"133","Europe","Serbia",68.551,1.41645265406653,12
"134","Europe","Slovak Republic",70.6960833333333,0.783980156465916,12
"135","Europe","Slovenia",71.60075,1.06174113095739,12
"136","Europe","Spain",74.2034166666667,1.48836838903878,12
"137","Europe","Sweden",76.177,0.867177186466107,12
"138","Europe","Switzerland",75.5650833333333,1.1580409623933,12
"139","Europe","Turkey",59.6964166666667,2.60690711455436,12
"140","Europe","United Kingdom",73.9225833333333,0.975416845300489,12
"141","Oceania","Australia",74.6629166666667,1.19735922471289,12
"142","Oceania","New Zealand",73.9895,1.02760383608636,12
